Theme	Parent	Definition	Example	References
the winners write history	human nature	The time tested wisdom that time tested wisdom and history are generally constructed by the winners of conflicts and would possibly look quite different if such conflicts had ended differently.		
the workings of computers	topic in technology	Those electronics-filled boxes that we rely on to run our lives.	Duotronic computer technology had supplanted conventional transistor based computing in the Federation by the 23rd century in tos2x24 "The Ultimate Computer".	https://en.wikipedia.org/wiki/Computer
the workings of irrigation	topic in technology	Any of a number of technologies developed over the ages to supply controlled amounts of water to crops at regular intervals.	Captain Kirk, while suffering from amnesia, had plans to irrigate Amerind in tos3x03 "The Paradise Syndrome".	https://en.wikipedia.org/wiki/Irrigation
theater of the absurd	the fine arts and the humanities	The art of playing out absurdist fiction live is featured. Absurdism revolves around existentialism and the idea that human existence has no particular meaning.	Kirk and his team in tos2x12 "I, Mudd" found that such theater does not compute and is therefore an excellent weapon against androids.	https://en.wikipedia.org/wiki/Theatre_of_the_Absurd
theocracy	social order	There is a society in which one or more gods are recognized as rulers and the ruling elite is essentially a priesthood (or the gods themselves).		https://en.wikipedia.org/wiki/Theocracy
there is always a third course	life lesson	A variant of "thinking outside the box", the notion that choices are rarely binary except in our minds, is featured.		
there is strength in unity	life lesson	The time tested wisdom that we are stronger when we stand united is illustrated.	Kor explained that the Klingons are united and therefore strong in tos1x27 "Errand of Mercy".	
there is value in diversity	life lesson	The idea that diversity in skills and in thinking can be very useful to a group of people is featured.		
there is value in experience	life lesson	The value of a person’s experience is emphasized.	Inexperienced Stocker mistakenly thought he could handle running the Enterprise after Captain Kirk was incapacitated by age in tos2x11 "The Deadly Years".	
there is value in redundancy	life lesson	That redundancy, a copy which does not add value while the original is around, can in fact be a good thing (because the original may break) is featured. As "redundancy" is often a byword for "waste", the observation is perhaps worth making.		
there is weakness in conformism	group interaction	It is illustrated that groups in which all members conform to common ways of thinking and acting to a high degree, have some potential disadvantages that more diverse groups do not.	The terrible Borg were defeated after Captain Picard found their central off-switch in tng4x01 "The Best of Both Worlds, Part II".	
thermophilic alien	inhospitable environment dwelling life form	Aliens that thrive in extreme heat.	The Tholians of tos3x09 "The Tholian Web" were a non-humanoid, thermophilic species.	
thirst for knowledge vs. safety	life choice	A character must choose whether satisfying a curiosity is worth taking some personal risk over.		
tidally locked planet	what's out there	A planet one side of which always faces its parent star, like how the same side of the moon always faces the earth.	Captain Picard secretly met various Federation starship captains on the tidally locked planet Dytallix B in tng1x15 "Conspiracy".	https://en.wikipedia.org/wiki/Tidal_locking
time loop	alternate laws of nature	A repeated period of time that is typically re-experienced by those within it.		https://en.wikipedia.org/wiki/Time_loop, http://www.sf-encyclopedia.com/entry/time_loop
time portal	alternate laws of nature	A doorway in time.		https://en.wikipedia.org/wiki/Time_portal, http://www.sf-encyclopedia.com/entry/time_gate
time speed up	alternate laws of nature	Time moves faster for some.	The Scalosians had been subjected to radiation that made them speed up in time in tos3x13 "Wink of an Eye". The radiation had its negative effects also, rendering them sterile.	
time travel	alternate laws of nature	The concept of movement between past and future points in time.		https://en.wikipedia.org/wiki/Time_travel, https://en.wikipedia.org/wiki/Time_travel_in_fiction, http://www.sf-encyclopedia.com/entry/time_travel
time traveler's dilemma	social ethical dilemma	The following dilemma is illustrated: What should we do if some people find a way to affect the past? They could stop Hitler, yes, but what untold damage might they also do?		http://tvtropes.org/pmwiki/pmwiki.php/Main/TheTimeTravellersDilemma, https://en.wikipedia.org/wiki/Grandfather_paradox, http://www.sf-encyclopedia.com/entry/time_paradoxes
to kill or to spare	personal ethical dilemma	Someone must choose whether to satisfy their own blood thirst, lust for vengeance, etc., on one hand, or to show mercy, compassion, etc., on the other.		
to publicly confront vs. to privately discuss	personal practical dilemma	Someone must decide, in a given social situation regarding some delicate matter and another person, which is the better course of action: to discuss things privately or to confront the other person openly.	Unlike Captain Maxwell, Captain Picard choose to bring up the matter of covert aggression informally with their Cardassian adversaries in tng4x12 "The Wounded".	
to tell the truth vs. offering a comforting lie	personal ethical dilemma	Someone must choose between telling a comforting white lie on one hand, and being honest on the other.		
topic in science	modern science	The category of themes that have to do with science and the understanding of nature through use of the scientific method.		
topic in technology	modern science	The category of themes that have to do with technology, i.e., the application of scientific knowledge in building contraptions.		
