Theme	ThemeID	ParentTheme	Tags	RelatedThemes	Definition	Example
joy	140	pleasant emotion	Plutchik-emotion	amazement, distraction	A character exhibits a feeling of mild astonishment stemming from the experiencing of something unexpected. This is a stronger version of the theme "distraction", but not so strong as the theme "amazement".	Captain Kirk was somewhat taken aback to hear that Spock's brain had been stolen in tos3x06 “Spock's Brain”.
love	30	pleasant emotion	Plutchik-emotion	acceptance, admiration	A character exhibits a feeling of faith in the reliability of someone or, occasionally, something. This assumes that the character harbors a certain level of "acceptance", not necessarily "admiration" toward their object.	
nostalgia	674	pleasant emotion	Plutchik-emotion	anticipation, interest	A character exhibits a strong feeling of having to be alert to a significant event that is about to transpire and that they have some power to influence. This assumes a high level of "interest" in the character toward the event, but is to be distinguished from "anticipation" in so far as an action may be taken to change the course of events.	
serenity	108	pleasant emotion			The issue of a large portion of society having a hostile prejudice against artificial intelligences (or their forerunners) is discussed. 	
surprise	115	pleasant emotion			The issue of a large portion of society having a hostile prejudice against people of certain social classes is discussed. 	
trust	231	pleasant emotion			The issue of people being too obsessed with looks and appearances, their own and others, is discussed.	
vigilance	71	pleasant emotion			The issue of a large portion of society having a hostile prejudice against ex-convicts even though the latter have atoned for their crimes is discussed.	Nobody trusted Ro Laren after she got out of the penal stockade on Jaros II and was assigned to the Enterprise-D in tng5x03 "Ensign Ro" until Guinan took pity on her.
AI prejudice in society	279	prejudice in society			The issue of a large portion of society having an irrational, hostile, prejudice against people of a certain ethnicity, i.e., race, is discussed.	
class prejudice in society	766	prejudice in society			The issue of a large portion of society having a prejudice about a gender, e.g., believing that men are unfit to tend children, is discussed.	The generally gender neutral J’naii were prejudiced against both the male and the female sex in tng5x17 "The Outcast".
lookism in society	853	prejudice in society			The issue of a large portion of society having hostile and fearful attitudes toward strangers is discussed.	
prejudice against ex-convicts	1308	prejudice in society			The troubles a person who is deaf and one who is not, may have in communicating with each other are illustrated.	
racism in society	330	prejudice in society			The trouble two people who use entirely different approaches to communication may face in understanding each other is illustrated.	
sexual prejudice in society	1350	prejudice in society			The (very real) idea of a language composed of musical sounds is illustrated.	The myseterious space obelisk on Amerind featured such a language in tos3x03 "The Paradise Syndrome".
xenophobia in society	337	prejudice in society			The difficulties involved in learning a new language are illustrated.	
communicating with deaf people	768	problem of language and meaning			A writing system composed of elements which represent concepts rather than sounds is illustrated. Each English character represents a sound. A Chinese character can for example represent a house and have many different pronunciations.	The ancient Iconians had left such writing behind in tng2x11 "Contagion".
incompatible modes of communication	420	problem of language and meaning			A way of communicating through rituals that involve more than merely talking is illustrated.	To communicate with the Jarada in tng1x12 "The Big Goodbye", Captain Picard had to memorize a long and complicated ritual greeting.
language of musical notes	1222	problem of language and meaning			The way that words and sounds tend to change meaning over the course of history is illustrated.	An Abraham Lincoln replica asked forgiveness for calling Uhura  “a charming negress” in tos3x22 “The Savage Curtain” upon recalling that the term was used by some in his time as a description of property.
learning languages	847	problem of language and meaning			The idea of how various symbols can represent complex ideas is illustrated.	
pictographic writing system	1291	problem of language and meaning			The way that a word in one language may lack a direct counterpart in another, thus requiring long explanations to translate, is illustrated.	
ritualistic communication	1332	problem of language and meaning			The category of themes that deal with our human hopes and dreams, and the question of what we want out of life.	
