Theme	ThemeID	ParentTheme	Domain	RelatedThemes	Tags	Definition	Example
the need to be treated with respect	1298	human need	the human condition			It is illustrated that humans feel bad if they are not treated with sufficient respect by their fellow humans.	
the need to feel useful to society	1299	human need	the human condition			It is illustrate that humans in order to be content must feel that they have a meaningful place in society.	
the need to get there on one's own merits	1300	human need	the human condition			It is illustrated that humans may put high importance on achieving something by their own merits, rather than having it handed to them on a silver plate.	
the need to maintain an image	1301	human need	the human condition			It is illustrated that humans, to function well in society, to some extent must maintain an outwards facade that can be quite different from their true inner selves.	Captain Picard took elaborate measured to prevent the crew from learning that he suffered from a heart condition in order to maintain his image in tng2x17 "Samaritan Snare".
the need to prove one's self	1302	human need	the human condition			It is illustrated that humans, in order to feel content, may feel the need to demonstrate that the skills they claim to have are true, to themselves and to others.	
the placebo effect	1303	topic in science	the pursuit of knowledge			The phenomena where patients given a placebo treatment have a perceived or actual improvement in a medical condition.	In the end the Mudd's women found that it was the confidence a drug had inspired that made them beautiful rather than the drug itself in tos1x03 "Mudd's Women".
the power of intuition	1304	superstition	the pursuit of knowledge	the power of thought		The idea that we can find previously unknown information about the external world merely through looking inwards to our intuitions.	
the power of thought	1305	superstition	the pursuit of knowledge	the power of intuition		The idea that our thoughts have power to affect the external world well beyond the mere manipulation of our own bodies.	
the presumption of innocence	1306	contemporary social issue	society		crime and punishment	The pros and cons of the presumption of innocence as a legal right are explored.	On Tanuga IV, by contrast with the Federation, people were presumed to be guilty until proven innocent in tng3x14 "A Matter of Perspective".
the promised land	1307	organized religion	the pursuit of knowledge			The religious doctrine that there is a "promised land" which God has ordained to his believers.	
the psychology of torture	1308	human nature	the pursuit of knowledge			How torture affects the mind of victim, perpetrator, bystanders, etc. is explored.	
the qualities of a good leader	1309	human nature	the pursuit of knowledge			What it takes to lead other people effectively is discussed.	
the qualities of a good wife	1310	female stereotype	society			Someone is concerned with what a woman should be like in order to make a good house wife.	
the quest for immortality	1311	human aspiration	the human condition			Someone seeks a way to live on forever.	Ira Graves surreptitiously transferred his consciousness into Data in an effort to gain eternal life in tng2x06 "The Schizoid Man".
the reasons for playing games	1312	human nature	the pursuit of knowledge			What in our minds attract us to games of different sorts is pondered.	Data, Troi and Pulaski discussed why we enjoy playing games in tng2x21 "Peak Performance".
the reliability of AI evidence in court	1313	social ethical dilemma	society		AI, fictional issue	The following dilemma is illustrated: To what extent can we rely on the internal state of very complex machines that, perhaps, we do not fully understand? Can it be trusted as evidence in a court?	Spock challenged the accuracy of computer evidence in the court martial of Captain Kirk in tos1x14 "Court Martial".
the right to a fair trial	1314	human rights	society	imprisonment without a lawful cause	crime and punishment	We are made to ponder what kind of legal procedures are required before action may be taken to deprive someone of their freedom or property, etc.	Admiral Norah Satie’s investigation of Simon Tarses turned into a witch-hunt because of her racial prejudice against Romulans in tng4x21 "The Drumhead".
the right to exist of a xenocidal species	1315	social ethical dilemma	society		fictional issue	The following dilemma is illustrated: Suppose another people (or alien species) engages in pathological killing and genocide; do they themselves have the right to exist? Would we be morally justified in visiting genocide on them? Is there room for doubt?	
the right to not have one's brain confiscated	1316	human rights	society		fictional issue	We are made to ponder under what circumstance it might be morally justified to confiscate someones brain for one purpose or another.	The Eymorg refused to grant Spock this basic human right in tos3x06 "Spock's Brain".
